"region","date","value"
"Osceola County,FL","6",0.0344827586206897
"Orange County,FL","6",0.0135135135135135
"Putnam County,FL","6",NA
"Alachua County,FL","6",0
"Volusia County,FL","6",0.0153846153846154
"Leon County,FL","6",0
"St. Johns County,FL","6",0
"Miami-Dade County,FL","6",0
"Palm Beach County,FL","6",0
"Broward County,FL","6",0
"Martin County,FL","6",0
"Sumter County,FL","6",0
"Hernando County,FL","6",0
"Collier County,FL","6",0
"Lee County,FL","6",0
"Bay County,FL","6",0
"Indian River County,FL","6",0
"Marion County,FL","6",0
"St. Lucie County,FL","6",0
"Seminole County,FL","6",0
"Charlotte County,FL","6",0
"Citrus County,FL","6",0
"Brevard County,FL","6",0
"Sarasota County,FL","6",0
"Manatee County,FL","6",0
"Polk County,FL","6",0
"Nassau County,FL","6",0
"NULL,FL","6",0
"Flagler County,FL","6",0
"Lake County,FL","6",0
"Hillsborough County,FL","7",0
"Duval County,FL","7",0.241935483870968
"Clay County,FL","7",0
"Columbia County,FL","7",0.0509554140127389
"Pinellas County,FL","7",0
"Pasco County,FL","7",0
"Osceola County,FL","7",0.206896551724138
"Orange County,FL","7",0.00900900900900901
"Putnam County,FL","7",NA
"Alachua County,FL","7",0.0285714285714286
"Volusia County,FL","7",0
"Leon County,FL","7",0.036036036036036
"St. Johns County,FL","7",0
"Miami-Dade County,FL","7",0
"Palm Beach County,FL","7",0
"Broward County,FL","7",0
"Martin County,FL","7",0
"Sumter County,FL","7",0
"Hernando County,FL","7",0
"Collier County,FL","7",0
"Lee County,FL","7",0
"Bay County,FL","7",0
"Indian River County,FL","7",0
"Marion County,FL","7",0
"St. Lucie County,FL","7",0
"Seminole County,FL","7",0
"Charlotte County,FL","7",0
"Citrus County,FL","7",0
"Brevard County,FL","7",0
"Sarasota County,FL","7",0
"Manatee County,FL","7",0
"Polk County,FL","7",0
"Nassau County,FL","7",0
"NULL,FL","7",0
"Flagler County,FL","7",0
"Lake County,FL","7",0
