"zips","lon","lat"
"29118",-80.8765205,33.5711678
"29127",-81.4937993,34.1470012
"29142",-80.5105028,33.4658256
"29401",-79.9248669,32.7791432
"29440",-79.3352899,33.3809044
"29505",-79.6838874,34.1289479
"29576",-79.0532061,33.566559
"30024",-84.0907246,34.067013
"30062",-84.4697663,33.9957883
"30068",-84.4435223,33.9668266
"30110",-85.1271907,33.7229357
"30117",-85.1479364,33.5674989
"30120",-84.8776392,34.1577811
"30125",-85.3136218,34.0196497
"30139",-84.7002041,34.4272061
"30161",-85.1271907,34.2566577
"30180",-84.9193082,33.7145773
"30224",-84.238417,33.2042944
"30248",-84.0801613,33.3647316
"30269",-84.5746243,33.3984792
"30286",-84.3121264,32.9047684
"30312",-84.377861,33.7440941
"30344",-84.448772,33.6832181
"30350",-84.3436881,33.9900649
"30434",-82.366887,33.0477278
"30477",-82.366887,32.9133543
"30512",-83.9744262,34.8457601
"30513",-84.375233,34.8869359
"30546",-83.7199136,34.9208214
"30701",-84.9609464,34.5156085
"30705",-84.7315563,34.7046413
"30720",-84.9921549,34.7486859
"30721",-84.9193082,34.7787365
"31014",-83.3789389,32.4087854
"31021",-82.9286428,32.4969921
"31023",-83.2077645,32.2191202
"31029",-83.9744262,33.0685419
"31501",-82.3560389,31.2298446
"31510",-82.4319405,31.5412085
"31516",-82.2365981,31.3250399
"31553",-81.9971108,31.1510963
"31602",-83.3468784,30.87419
"31605",-83.2291862,30.9252192
"31701",-84.1751648,31.5301723
"31705",-84.0378894,31.5124781
"31707",-84.1962563,31.5766377
"31830",-84.7524482,32.9015134
"31904",-84.9921549,32.5621719
"32025",-82.5834947,30.111156
"32055",-82.605118,30.2730727
"32073",-81.7458845,30.1643797
"32080",-81.2849169,29.8362822
"32127",-80.9745372,29.1145775
"32168",-81.0533854,29.0034265
"32174",-81.1857736,29.2890392
"32177",-81.734942,29.7618374
"32224",-81.460856,30.2606613
"32245",-81.5841497,30.2537634
"32250",-81.4114142,30.2745944
"32256",-81.5537192,30.2205397
"32258",-81.5706109,30.1532158
"32301",-84.2542195,30.4305062
"32303",-84.3647199,30.5099431
"32308",-84.2173403,30.4805441
"32312",-84.2278796,30.6301452
"32606",-82.4644445,29.6788293
"32607",-82.4156829,29.647247
"32615",-82.4969331,29.8303455
"32653",-82.3777335,29.7429556
"32789",-81.3509416,28.5950986
"32819",-81.460856,28.4630493
"32835",-81.4828198,28.5107872
"32837",-81.4169093,28.3675319
"33183",-80.4048306,25.6950625
"33186",-80.3992652,25.6653934
"33187",-80.4660256,25.5994424
"33325",-80.3324514,26.1059556
"33441",-80.0926014,26.3058811
"33486",-80.1149414,26.3424842
"33511",-82.2909146,27.9082595
"33544",-82.3777335,28.2621197
"33563",-82.116955,28.0147874
"33578",-82.3397635,27.8585758
"33613",-82.4698603,28.0869646
"33647",-82.3343375,28.1434318
"33705",-82.6321376,27.7346248
"33756",-82.7940297,27.9413341
"33777",-82.7616822,27.8580624
"34652",-82.7455027,28.2356313
"34695",-82.6861446,28.0055309
"34698",-82.7832489,28.0339553
"34741",-81.422404,28.3040861
"34759",-81.4498717,28.1026718
"34769",-81.2849169,28.2431581
"34787",-81.6254283,28.4385186
"34957",-80.2261858,27.2408095
"36016",-85.3962769,31.8642373
"36027",-85.1686743,31.9693453
"36375",-85.56121,31.049108
"36801",-85.3756249,32.7008882
"36830",-85.4994192,32.4796915
"36849",-85.4929785,32.5909562
"37110",-85.7256372,35.6214097
"37166",-85.80766,35.9728357
"37312",-84.8359395,35.2148165
"37379",-85.1686743,35.3161809
"37711",-83.0576156,36.2999541
"37777",-84.0907246,35.8246705
"37804",-83.9108968,35.7830899
"37814",-83.3254958,36.2396396
"37862",-83.6561215,35.769927
"37885",-84.0801613,35.4864793
"38501",-85.5406209,36.2452673
"38549",-85.1686743,36.5765064
"38583",-85.3962769,35.9577959
"3894",-102.5576049,33.8181741
"38965",-89.6628111,34.1082186
"39819",-84.6269824,30.8076819
"40004",-85.4581859,37.7851587
"40160",-85.9202327,37.8338245
"40330",-84.8984775,37.8258603
"40475",-84.3121264,37.799041
"40831",-83.3468784,36.8004665
"42101",-86.5400674,37.1184213
"42103",-86.317392,36.9616468
"42104",-86.4794359,36.88064
"42134",-86.5602614,36.7108803
"42141",-85.971322,36.9289778
"42261",-86.7013894,37.2086395
"42276",-86.8822445,36.848859
"42701",-85.8647201,37.7030051
"42757",-85.7051116,37.4116971
"42765",-85.9508923,37.2923087
"42776",-85.9508923,37.5481584
"43023",-82.5402275,40.089177
"43055",-82.3234843,40.1157418
"43062",-82.669947,40.015874
"43326",-83.634843,40.6622015
"43348",-83.8844068,40.4579303
"44132",-81.4992884,41.610156
"45040",-84.3226488,39.3585759
"45044",-84.3939224,39.5038205
"45240",-84.5327038,39.2858588
"45245",-84.2805478,39.0663831
